# strong scaling  16000x16000  runs=7   (hpc3: OpenMP 1 node, MPI <=64 one node, 128 two nodes)
worker        mean       std   n
omp-1       9.1208    0.0227   7
omp-2       4.6615    0.0256   7
omp-4       2.4840    0.0270   7
omp-8       1.2898    0.0022   7
omp-16      0.6913    0.0071   7
omp-32      0.3725    0.0074   7
omp-64      0.3028    0.0147   7
mpi-1       9.2285    0.0312   7
mpi-2       4.6432    0.0043   7
mpi-4       2.3718    0.0092   7
mpi-8       1.2175    0.0066   7
mpi-16      0.6263    0.0009   7
mpi-32      0.3182    0.0033   7
mpi-64      0.1834    0.0124   7
mpi-128     0.1667    0.0421   7
