# weak scaling  8000 wide, 2000 rows/worker  runs=7   (hpc3: OpenMP 1 node, MPI 128 = two nodes)
worker        mean       std   n
omp-1       0.5732    0.0036   7
omp-2       0.5876    0.0057   7
omp-4       0.6303    0.0033   7
omp-8       0.6465    0.0023   7
omp-16      0.6817    0.0009   7
omp-32      0.7384    0.0118   7
omp-64      0.9513    0.0310   7
mpi-1       0.5684    0.0020   7
mpi-2       0.5770    0.0024   7
mpi-4       0.5935    0.0085   7
mpi-8       0.6100    0.0006   7
mpi-16      0.6280    0.0007   7
mpi-32      0.6293    0.0004   7
mpi-64      0.7036    0.0192   7
mpi-128     1.5496    0.0482   7
